Recency,Frequency,Monetary,Cluster_4
2,7,4310.0,0
75,4,1797.24,1
19,1,1757.55,1
310,1,334.40000000000003,3
36,11,1545.41,0
204,1,89.0,3
232,1,1079.4,3
214,1,459.4,3
23,3,2811.43,0
33,1,6207.67,0
2,2,1168.06,1
8,6,6245.53,0
52,3,2662.06,0
287,1,189.9,3
3,13,5154.58,2
110,2,552.0,1
8,4,1313.1,1
291,3,320.69,3
4,1,168.9,1
51,4,3545.69,0
45,2,1887.96,1
72,3,1298.04,1
311,1,364.6,3
25,1,742.9300000000001,1
3,3,455.42,1
315,2,1628.12,3
130,1,4008.62,0
82,3,850.29,1
22,5,2720.56,0
5,6,1803.96,0
185,6,1839.31,3
29,3,566.16,1
338,2,401.9,3
16,6,2780.6600000000003,0
80,1,549.84,1
22,1,460.89,1
72,4,1582.6,1
64,2,1272.48,1
16,15,2998.28,0
36,2,2409.9,1
46,1,1635.66,1
119,4,1108.65,1
303,1,84.3,3
323,1,225.6,3
50,2,409.7,1
149,1,1710.39,1
22,3,3280.75,0
50,5,1708.12,1
33,9,2842.57,0
79,7,11056.93,2
301,3,681.08,3
75,3,1226.88,1
67,5,694.15,1
217,3,562.4100000000001,3
3,12,3578.8,0
113,1,668.58,1
64,1,600.39,1
16,5,806.27,1
96,3,803.5600000000001,1
1,9,1849.11,0
163,2,1760.96,3
78,1,777.2,1
195,1,582.73,3
12,5,708.37,1
26,12,7877.2,2
9,4,3750.4,0
43,1,256.4,1
36,18,6416.39,2
43,5,5059.32,0
85,4,765.19,1
80,2,7829.89,0
100,1,509.01,1
2,19,4896.66,2
14,2,2906.85,0
367,1,173.55,3
3,1,172.06,1
21,5,5005.46,0
22,1,133.4,1
58,1,1002.31,1
243,1,476.49,3
44,1,449.45,1
22,4,4067.29,0
156,2,197.88,3
11,6,8933.52,2
17,3,428.5700000000001,1
134,1,707.09,1
73,6,2466.86,0
44,4,3153.89,0
58,12,1917.78,0
71,2,947.4,1
94,2,826.88,1
2,4,1124.01,1
46,7,1303.63,0
10,8,1212.05,0
8,3,733.89,1
143,3,724.04,1
31,13,6229.4800000000005,2
29,9,2848.23,0
17,30,7116.47,2
54,1,723.38,1
1,20,6546.58,2
4,1,680.99,1
4,3,477.3,1
28,4,3281.63,0
23,11,5590.86,2
17,13,2327.13,0
33,8,4495.27,0
10,3,1298.66,1
336,1,334.93,3
5,10,5417.93,0
39,1,460.4,1
63,2,263.21000000000004,1
166,3,416.79,3
10,13,1139.35,0
82,1,1043.1,1
21,3,403.7000000000001,1
23,13,4206.27,0
315,2,2089.68,3
96,5,3723.87,0
18,4,114.0,1
233,1,73.5,3
134,4,1258.06,1
26,2,398.27,1
284,1,176.5,3
143,2,982.57,1
66,2,138.03,1
85,2,586.79,1
267,1,1017.68,3
353,1,383.7,3
78,2,1312.06,1
28,6,2464.89,0
1,5,2056.89,0
64,1,340.84000000000003,1
79,6,2582.51,0
143,1,599.68,1
39,2,192.72,1
2,13,1745.57,0
9,8,4485.72,0
1,3,1316.66,1
82,3,348.71000000000004,1
9,8,1922.28,0
60,5,1623.63,1
15,1,125.22,1
30,1,349.83000000000004,1
131,1,1089.18,1
92,2,716.35,1
8,5,4106.82,0
29,1,363.95,1
22,5,3852.5,0
30,3,981.18,1
30,2,355.7,1
75,2,1000.39,1
47,3,1141.5,1
198,2,207.8,3
166,1,95.2,3
79,1,964.83,1
358,1,168.0,3
39,2,437.82,1
8,14,3652.25,0
50,2,603.71,1
311,3,536.21,3
5,4,2101.39,0
303,1,238.85,3
8,7,3781.74,0
261,1,456.9,3
282,2,131.17000000000002,3
73,2,346.7,1
23,11,9114.94,2
2,35,4064.99,2
40,2,519.61,1
9,3,1004.72,1
227,1,160.54000000000002,3
316,1,218.45,3
36,6,1306.98,1
35,4,595.4,1
21,4,2753.36,0
73,3,410.72,1
247,1,415.7,3
40,1,197.71,1
239,2,511.36,3
3,18,7187.34,2
4,18,1893.95,0
234,4,1982.81,3
17,2,179.94000000000003,1
8,1,144.0,1
39,1,214.9,1
29,2,646.68,1
190,3,9861.38,2
317,1,452.85,3
92,2,437.6,1
109,3,418.1,1
38,11,3320.2200000000003,0
51,2,618.27,1
19,5,3683.13,0
10,9,3002.68,0
29,7,1032.58,0
29,11,2581.04,0
190,6,569.5600000000001,3
59,1,153.12,1
22,1,739.1999999999999,1
